,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
162,125000,מאיפה שנוח לך בארץ,פיג'ו 3008 3008 PREMIUM,2019,1199 ליטר בנזין,64545,1,אוטומטי,אפור,אחר,1,2019,694,6,4,22
163,109000,בת ים,ניסאן ג'וק JUKE N-DESIGN,2021,999 ליטר בנזין,22000,2,אוטומטי,שנהב לבן,פרטית,3,1811,473,70,151,7
165,54999,פרדס חנה כרכור,ניסאן קשקאי QASHQAI VISIA,2016,1598 ליטר דיזל,235000,2,אוטומטי,שחור מטלי,פרטית,3,1693,490,67,54,34
166,48000,פתח תקווה,מזדה CX-5 CX-5 LUXURY,2012,1998 ליטר בנזין,350000,2,אוטומטי,שחור מטלי,פרטית,4,1427,362,67,82,35
167,114990,חיפה,טויוטה C-HR HYBRID CHIC,2017,1798 ליטר בנזין,99000,2,אוטומטי,כסוף כהה מטלי,פרטית,3,1835,185,43,60,12
168,279900,ראשון לציון,סקודה סופרב SUPERB LK IV,2022,1395 ליטר חשמל/בנזין,19000,1,אוטומטי,שחור מטלי,פרטית,2,3366,606,67,25,38
170,110900,פתח תקווה,פיג'ו 5008 5008 PREMIUM,2019,1598 ליטר בנזין,152131,1,אוטומטי,אפור,ליסינג,9,2019,700,6,53,35
172,635000,נתניה,לנד רובר רינג' רובר ספורט SPORT HSE DYN 300,2021,2997 ליטר דיזל,46000,2,אוטומטי,שנהב לבן,פרטית,1,4731,323,70,120,28
173,96900,פתח תקווה,סובארו פורסטר FORESTER 2.0X,2016,1995 ליטר בנזין,119660,2,אוטומטי,שחור,פרטית,2,1693,511,65,76,35
174,114000,עפולה,מיצובישי אקליפס קרוס ECLIPSE CROSS PREMIUM,2019,1499 ליטר בנזין,40500,2,אוטומטי,שחור,פרטית,1,2019,393,65,40,32
175,133000,ירכא,ניסאן X TRAIL X-TRAIL ACENTA,2019,1598 ליטר דיזל,70000,1,אוטומטי,שנהב לבן,ליסינג,2,2019,464,70,54,16
178,82000,חיפה,סיאט ארונה ARONA STYLE,2019,999 ליטר בנזין,125000,1,אוטומטי,שנהב לבן,ליסינג,6,1353,550,70,151,12
180,119900,עפולה,שברולט אקוינוקס EQUINOX LT,2019,1490 ליטר בנזין,46000,3,אוטומטי,אפור כהה,פרטית,5,2019,775,9,33,32
181,98900,ראשון לציון,קיה נירו NIRO EX,2018,1580 ליטר בנזין,130000,1,אוטומטי,שנהב לבן,פרטית,3,1604,714,70,44,38
182,65000,נתניה,פיג'ו 208 208 GTI,2016,1598 ליטר בנזין,130000,3,ידני,שנהב לבן,פרטית,8,1584,689,70,53,28
183,65000,נתניה,סקודה אוקטביה OCTAVIA AMBITION,2016,1197 ליטר בנזין,130000,2,אוטומטי,כסף מטלי,ליסינג,1,1424,584,49,2,28
184,117900,חדרה,קיה נירו NIRO LX,2019,1580 ליטר בנזין,79685,1,אוטומטי,כסוף,ליסינג,8,1604,715,40,44,10
186,179900,רמת גן,סובארו פורסטר FORESTER SPORT,2020,2498 ליטר בנזין,27000,2,אוטומטי,שנהב לבן,פרטית,9,2417,514,70,104,42
189,152000,נתניה,טויוטה קורולה SDN LIMITED,2022,1798 ליטר בנזין,15000,1,אוטומטי,שנהב לבן,פרטית,5,1811,243,70,60,28
191,149000,ראשון לציון,סקודה קודיאק KODIAQ STYLE,2017,1395 ליטר בנזין,79000,1,אוטומטי,אפור מטל,פרטית,6,2019,622,13,24,38
193,97000,עפולה,יונדאי טוסון TUCSON OPEN SKY,2016,1999 ליטר בנזין,135000,2,אוטומטי,אפור,פרטית,5,1693,295,6,84,32
195,17000,אזור,יונדאי I10 I10 INSPIRE,2012,1086 ליטר בנזין,140000,2,ידני,בז מטאלי,פרטית,8,880,254,19,0,2
196,169000,רמלה,טויוטה C-HR TOYOTA CITY CITY 7,2022,1199 ליטר בנזין,100,1,אוטומטי,שנהב לבן,פרטית,7,2417,189,70,4,41
199,80000,בת ים,קיה פיקנטו PICANTO X-LINE,2022,1197 ליטר בנזין,7000,1,אוטומטי,כסף,פרטית,1,1235,742,46,2,7
200,90000,עפולה,סובארו פורסטר FORESTER 2.0Z,2017,1995 ליטר בנזין,185000,1,אוטומטי,שנהב לבן,פרטית,8,2019,512,70,76,32
201,117000,נוף הגליל,מיצובישי אאוטלנדר OUTLANDER INTENSE,2018,1998 ליטר בנזין,119000,1,אוטומטי,שנהב לבן,ליסינג,4,2019,381,70,82,24
204,117900,ראשון לציון,קיה ספורטז' SPORTAGE URBAN,2020,1598 ליטר דיזל,58317,2,אוטומטי,לבן,פרטית,1,2130,735,53,54,38
205,145000,חיפה,איסוזו D-Max PICK - UP LS,2016,2499 ליטר דיזל,160000,1,אוטומטי,שנהב לבן,פרטית,3,1962,64,70,105,12
206,40000,בת ים,שברולט טראקס TRAX LS,2014,1796 ליטר בנזין,120000,3,אוטומטי,שנהב לבן,פרטית,1,1424,778,70,59,7
207,174503,נתניה,אאודי A1 SPORTBACK EPIC EDITION,2020,1498 ליטר בנזין,36260,1,אוטומטי,לבן,פרטית,4,3366,9,53,39,28
209,75000,רמלה,טויוטה קורולה COROLLA SUN,2015,1598 ליטר בנזין,134000,2,אוטומטי,שנהב לבן,ליסינג,9,1424,236,70,53,41
211,170000,ירושלים,סקודה קודיאק KODIAQ STYLE,2020,1498 ליטר בנזין,130000,1,אוטומטי,אפור כהה,ליסינג,11,2019,622,9,39,15
212,13999,פרדס חנה כרכור,שברולט ספארק SPARK LS,2014,995 ליטר בנזין,200000,2,ידני,שחור מטלי,פרטית,4,985,789,67,148,34
213,47500,רעננה,קיה פיקנטו PICANTO LX,2017,1248 ליטר בנזין,112000,2,אוטומטי,כסף,ליסינג,3,1102,740,46,7,44
214,100000,נוף הגליל,סקודה אוקטביה OCTAVIA AMBITION,2019,1498 ליטר בנזין,130000,1,אוטומטי,כסף,ליסינג,1,1604,584,46,39,24
216,58900,ראשון לציון,סקודה אוקטביה OCTAVIA AMBITION,2016,1197 ליטר בנזין,130000,2,אוטומטי,אפור מטל,פרטית,7,1424,584,13,2,38
217,78900,ראשון לציון,מזדה CX-5 CX5 EXECUTIVE,2014,1998 ליטר בנזין,70000,1,אוטומטי,אפור,פרטית,3,1693,365,6,82,38
218,50000,פתח תקווה,מזדה 3 MAZDA 3 COMFORT,2014,1496 ליטר בנזין,140000,4,אוטומטי,שנהב לבן,פרטית,1,1424,341,70,36,35
219,149000,רמלה,סקודה סופרב SUPERB FL BUSINESS,2020,1498 ליטר בנזין,28000,1,אוטומטי,שחור מטלי,ליסינג,3,2417,603,67,39,41
